address,total_supply,volume_24h,total_volume,market_cap,market_cap_change_24h,creator_earnings,days_since_created,unique_holders,transfers,comments_sentimental_score,roi
0xceda271c98e5394ff7105270e59c801762243475,1000000000,0,0.28,6309.99,0,9.95E-07,47,2,4,0,-0.00639341
0xea9cc0cdd3d72e641609bc0bac28ced9d43ee39a,1000000000,0,23.96,6309.87,0,0.004089497,47,8,16,0,-0.006843834
0x33363e85a669b07a3fe7b70c140694cccc5c4678,1000000000,0,0.3,6309.79,0,1.09E-06,47,4,5,0.298373222,0.04883342
0xb1922017ba208a7d5c390b67c77c5e9499592287,1000000000,0,113.26,6309.64,0,0.001633481,48,11,118,0,0.063965527
0x387199a7cf4f0bd088971aedd3d4e9329c5fcbc4,1000000000,0,17.91,6309.59,0,0.000307789,48,25,93,0,0.046730309
0xf4315fe2eb263ce6e82090761fc5db59b00a3bce,1000000000,0,0.03,6309.54,0,1.19E-07,47,2,4,0,0.023140337
0xace9c308239c1aa5ae2ebe8ac54aaf69d751cab6,1000000000,0,0,6309.18,0,9.95E-09,47,3,4,0,0.048058574
0x94eef70a66998e9a22825d2903f0e8e1ef53b4b8,1000000000,0,0.39,6309.05,0,1.39E-06,47,2,4,0,0.008657928
0x9461a6a7f0170b563c247f69a79a03e2e6d2cb44,1000000000,0,0.05,6309,0,9.85E-06,47,8,15,0.298325717,0.029573116
0x24afa989f171bf50e4e35f12401a0b98b679bc32,1000000000,0,0.03,6308.98,0,9.95E-08,48,3,4,0,0.051331543
0x307a30f05eece3fcb43c00515c67dfba92e45dca,1000000000,0,0.02,6308.96,0,4.42E-08,47,4,10,0,-0.157755296
0xa9c4dff70b774972e6829b7b1ea5ccc2ef433fad,1000000000,0,0.35,6308.91,0,1.33E-06,47,3,5,0,-0.361859184
0x971c9064bdbdad50d97d876481810f5b42f28854,1000000000,0,0.28,6308.85,0,9.95E-07,47,2,4,0,0.199652243
0xa937bda49b087d0fe72d980831807a8333843a17,1000000000,0,1.39,6308.8,0,4.90E-06,47,3,24,0,0.046253177
0x5750b33c83a054fdfd2eb8aefc7b52c82d1da692,1000000000,0,0.28,6308.64,0,9.95E-07,47,2,4,0,0.038215271
0x6a07a5673ef7f50fe2077677b8b90b915837cfc8,1000000000,0,0.54,6308.5,0,1.49E-06,48,3,10,0,0.367867063
0x302884150a94126fc6d23bd61a7965991f691742,1000000000,0,0.26,6308.44,0,7.38E-07,47,5,94,0,0.038115741
0x1884d13913af4dc0092140ede709c9038448d451,1000000000,0,0.01,6308.41,0,1.48E-08,47,3,10,0,-0.001357221
0x3e46c055b6efbca2cba3cca2961cf6bc4f8ccc08,1000000000,0,22.95,6308.18,0,0.000104786,47,8,10,0,0.023989374
0x08d10256ab8452f25efd4cd0bc20da90afdb798d,1000000000,0,0.05,6308.14,0,1.79E-07,47,2,6,0,-0.001688905
0x6d6f95c18c29493ab5cc17ef3c1f48a5d0cf443e,1000000000,0,0,6308.05,0,9.95E-09,47,2,6,0,-0.006843834
