address,total_supply,volume_24h,total_volume,market_cap,market_cap_change_24h,creator_earnings,days_since_created,unique_holders,transfers,comments_sentimental_score
0x0acd5006a4ee321be73bbe7a033cec236c9a62db,1000000000,23871.38,259724.05,33931.42,-64154.03,0.954725424864366,1,1563,15624,0.0
0x5a34646b860485f012435e2486edb375615d1c7b,1000000000,312.51,1825920.08,28468.03,879.24,2.216952001487206,45,10759,39824,0.0
0xdc1b8f07440ec756bf820db446314ab3d1c5fa6a,1000000000,357.74,11514084.23,28118.77,808.58,11.446565805443981,49,28081,66795,0.0
0xbe29e78b18066b3bf7c70523371e0169350f6f53,1000000000,537.8,1420166.1,26818.75,-581.57,1.874447706243587,38,12890,58848,0.0
0xd93dc936e60e9e275cbe6f225e9c065951b9b1d4,1000000000,2405.53,7206191.12,24337.83,-3562.61,15.988169368071176,49,12129,89749,0.0
0x20429f731096e359910921994a267d32ef576720,1000000000,381.28,115785.39,21596.72,533.28,0.20129877766926407,38,2392,18117,0.0
0x97e0ed45fc6c2d712ce52015ee7ab8b1ad11be7c,1000000000,4259.74,197520.45,20457.41,411.85,0.44040258860808273,7,13265,55485,0.0
0xef0ba30fa45e6015f1f403b803eb6c4b4c401c91,1000000000,2398.4,124446.76,17583.61,-2781.96,0.2140128333836945,5,1733,21235,0.0
0xc41b9cf3b325673f1b4bd35106255bb0ce2cdeac,1000000000,1850.53,127663.56,17284.13,1431.61,0.23615303631446735,5,946,6575,0.0
0xf1bf289902c1fbf8cfd2eff3b9403ea8a2db9ac6,1000000000,1273.52,864662.76,16738.28,-3637.7,1.6111739348458898,4,2654,22461,0.0
0xdcb492364375a425547fedd3bbe66904994c6182,1000000000,14.02,55075.96,15772.33,355.81,0.0726753976388909,47,3132,7524,0.0
0x1b77c87e078b4586de4ca81aaa388a2ab9cb0849,1000000000,15152.43,344549.31,14688.17,3291.26,0.6117514880018052,1,736,6312,0.0
0xf12b802172c632efcc43a6299ceb86348ec4a194,1000000000,1.66,229178.33,13436.10,297.56,0.33707636335623026,49,854,4430,0.0
